id	jurisdiction	full_name	short_name	in_use	start_date	end_date	parent_court_id
texdistct295	ST	Texas 294th Judicial District Court	Tex. 294th Jud. Dist. Ct.	f			texdistct
texdistct296	ST	Texas 295th Judicial District Court	Tex. 295th Jud. Dist. Ct.	f			texdistct
texdistct297	ST	Texas 296th Judicial District Court	Tex. 296th Jud. Dist. Ct.	f			texdistct
texdistct298	ST	Texas 297th Judicial District Court	Tex. 297th Jud. Dist. Ct.	f			texdistct
texdistct299	ST	Texas 298th Judicial District Court	Tex. 298th Jud. Dist. Ct.	f			texdistct
texdistct3	ST	Texas 2nd Judicial District Court	Tex. 2nd Jud. Dist. Ct.	f			texdistct
texdistct30	ST	Texas 29th Judicial District Court	Tex. 29th Jud. Dist. Ct.	f			texdistct
texdistct300	ST	Texas 299th Judicial District Court	Tex. 299th Jud. Dist. Ct.	f			texdistct
texdistct301	ST	Texas 300th Judicial District Court	Tex. 300th Jud. Dist. Ct.	f			texdistct
texdistct302	ST	Texas 301st Judicial District Court	Tex. 301st Jud. Dist. Ct.	f			texdistct
texdistct303	ST	Texas 302nd Judicial District Court	Tex. 302nd Jud. Dist. Ct.	f			texdistct
texdistct304	ST	Texas 303rd Judicial District Court	Tex. 303rd Jud. Dist. Ct.	f			texdistct
texdistct305	ST	Texas 304th Judicial District Court	Tex. 304th Jud. Dist. Ct.	f			texdistct
texdistct306	ST	Texas 305th Judicial District Court	Tex. 305th Jud. Dist. Ct.	f			texdistct
texdistct307	ST	Texas 306th Judicial District Court	Tex. 306th Jud. Dist. Ct.	f			texdistct
texdistct308	ST	Texas 307th Judicial District Court	Tex. 307th Jud. Dist. Ct.	f			texdistct
texdistct309	ST	Texas 308th Judicial District Court	Tex. 308th Jud. Dist. Ct.	f			texdistct
texdistct31	ST	Texas 30th Judicial District Court	Tex. 30th Jud. Dist. Ct.	f			texdistct
texdistct310	ST	Texas 309th Judicial District Court	Tex. 309th Jud. Dist. Ct.	f			texdistct
texdistct311	ST	Texas 310th Judicial District Court	Tex. 310th Jud. Dist. Ct.	f			texdistct
texdistct312	ST	Texas 311th Judicial District Court	Tex. 311th Jud. Dist. Ct.	f			texdistct
texdistct313	ST	Texas 312th Judicial District Court	Tex. 312th Jud. Dist. Ct.	f			texdistct
texdistct314	ST	Texas 313th Judicial District Court	Tex. 313th Jud. Dist. Ct.	f			texdistct
texdistct315	ST	Texas 314th Judicial District Court	Tex. 314th Jud. Dist. Ct.	f			texdistct
texdistct316	ST	Texas 315th Judicial District Court	Tex. 315th Jud. Dist. Ct.	f			texdistct
texdistct317	ST	Texas 316th Judicial District Court	Tex. 316th Jud. Dist. Ct.	f			texdistct
texdistct318	ST	Texas 317th Judicial District Court	Tex. 317th Jud. Dist. Ct.	f			texdistct
texdistct319	ST	Texas 318th Judicial District Court	Tex. 318th Jud. Dist. Ct.	f			texdistct
texdistct32	ST	Texas 31st Judicial District Court	Tex. 31st Jud. Dist. Ct.	f			texdistct
texdistct320	ST	Texas 319th Judicial District Court	Tex. 319th Jud. Dist. Ct.	f			texdistct
texdistct321	ST	Texas 320th Judicial District Court	Tex. 320th Jud. Dist. Ct.	f			texdistct
texdistct322	ST	Texas 321st Judicial District Court	Tex. 321st Jud. Dist. Ct.	f			texdistct
texdistct323	ST	Texas 322nd Judicial District Court	Tex. 322nd Jud. Dist. Ct.	f			texdistct
texdistct324	ST	Texas 323rd Judicial District Court	Tex. 323rd Jud. Dist. Ct.	f			texdistct
texdistct325	ST	Texas 324th Judicial District Court	Tex. 324th Jud. Dist. Ct.	f			texdistct
texdistct326	ST	Texas 325th Judicial District Court	Tex. 325th Jud. Dist. Ct.	f			texdistct
texdistct327	ST	Texas 326th Judicial District Court	Tex. 326th Jud. Dist. Ct.	f			texdistct
texdistct328	ST	Texas 327th Judicial District Court	Tex. 327th Jud. Dist. Ct.	f			texdistct
texdistct329	ST	Texas 328th Judicial District Court	Tex. 328th Jud. Dist. Ct.	f			texdistct
texdistct33	ST	Texas 32nd Judicial District Court	Tex. 32nd Jud. Dist. Ct.	f			texdistct
texdistct330	ST	Texas 329th Judicial District Court	Tex. 329th Jud. Dist. Ct.	f			texdistct
