id	jurisdiction	full_name	short_name	in_use	start_date	end_date	parent_court_id
acca	MA	Army Court of Criminal Appeals	Army Court of Criminal Appeals	t			
admiraltyctsc	SS	South Carolina Admiralty Court	South Carolina Admiralty Court	f			
afcca	MA	United States Air Force Court of Criminal Appeals	Air Force Court of Criminal Appeals	t			
ag	FS	United States Attorneys General	Attorneys General	f			
akb	FB	United States Bankruptcy Court, D. Alaska	D. Alaska	t			
akd	FD	District Court, D. Alaska	D. Alaska	t			usdistct
ala	S	Supreme Court of Alabama	Supreme Court of Alabama	t	1819-01-01		
alacivapp	SA	Court of Civil Appeals of Alabama	Court of Civil Appeals of Alabama	t	1969-01-01		
alacrimapp	SA	Court of Criminal Appeals of Alabama	Court of Criminal Appeals of Alabama	t	1969-01-01		
alactapp	SA	Alabama Court of Appeals	Alabama Court of Appeals	t	1911-01-01	1969-01-01	
alaska	S	Alaska Supreme Court	Alaska Supreme Court	t	1959-01-03		
alaskactapp	SA	Court of Appeals of Alaska	Court of Appeals of Alaska	t	1980-07-01		
ald	FD	District Court, D. Alabama	D. Alabama	f	1820-04-21	1824-03-10	usdistct
almb	FB	United States Bankruptcy Court, M.D. Alabama	M.D. Alabama	t			
almd	FD	District Court, M.D. Alabama	M.D. Alabama	t			usdistct
alnb	FB	United States Bankruptcy Court, N.D. Alabama	N.D. Alabama	t			
alnd	FD	District Court, N.D. Alabama	N.D. Alabama	t			usdistct
alsb	FB	United States Bankruptcy Court, S.D. Alabama	S.D. Alabama	t			
alsd	FD	District Court, S.D. Alabama	S.D. Alabama	t			usdistct
amsamoa	TS	High Court of American Samoa	High Court of American Samoa	t			
amsamoatc	TT	American Samoa District Court	American Samoa District Court	t			
arb	FB	United States Bankruptcy Court, D. Arizona	D. Arizona	t			
ard	FD	United States District Court for the District of Arkansas	United States District Court for the District of Arkansas	f	1836-06-15	1851-03-03	usdistct
areb	FB	United States Bankruptcy Court, E.D. Arkansas	E.D. Arkansas	t			
ared	FD	District Court, E.D. Arkansas	E.D. Arkansas	t			usdistct
ariz	S	Arizona Supreme Court	Arizona Supreme Court	t	1912-01-01		
arizctapp	SA	Court of Appeals of Arizona	Court of Appeals of Arizona	t	1965-01-01		
arizsuper	ST	Arizona Superior Court	Arizona Superior Court	f			
ariztaxct	SS	Arizona Tax Court	Arizona Tax Court	t			
ark	S	Supreme Court of Arkansas	Supreme Court of Arkansas	t	1841-01-01		
arkag	SAG	Arkansas Attorney General Reports	Arkansas Attorney General Reports	t			
arkctapp	SA	Court of Appeals of Arkansas	Court of Appeals of Arkansas	t	1979-08-08		
arkworkcompcom	SS	Arkansas Workers' Compensation Commission	Arkansas Workers' Compensation Commission	t			
armfor	MA	Court of Appeals for the Armed Forces	Court of Appeals for the Armed Forces	t	1951-05-31		
arwb	FB	United States Bankruptcy Court, W.D. Arkansas	W.D. Arkansas	t			
arwd	FD	District Court, W.D. Arkansas	W.D. Arkansas	t			usdistct
asbca	FS	Armed Services Board of Contract Appeals	Armed Services Board of Contract Appeals	t			
azd	FD	District Court, D. Arizona	D. Arizona	t			usdistct
bap1	FBP	Bankruptcy Appellate Panel of the First Circuit	First Circuit	t			
bap10	FBP	Bankruptcy Appellate Panel of the Tenth Circuit	Tenth Circuit	t			
bap2	FBP	Bankruptcy Appellate Panel of the Second Circuit	Second Circuit	t			
bap6	FBP	Bankruptcy Appellate Panel of the Sixth Circuit	Sixth Circuit	t			
bap8	FBP	United States Bankruptcy Appellate Panel for the Eighth Circuit	Eighth Circuit	t			
bap9	FBP	United States Bankruptcy Appellate Panel for the Ninth Circuit	Ninth Circuit	t			
bapma	FBP	Bankruptcy Appellate Panel of Massachusetts	Massachusetts	t			
bapme	FBP	Bankruptcy Appellate Panel, D. Maine	D. Maine	t			
bia	FS	Board of Immigration Appeals	Board of Immigration Appeals	t			
bpai	FS	Board of Patent Appeals and Interferences	Board of Patent Appeals and Interferences	f		2012-09-15	
bta	FS	United States Board of Tax Appeals	Board of Tax Appeals	t	1924-01-01	1942-12-31	
bva	FS	Board of Veterans' Appeals	Board of Veterans' Appeals	t			
ca1	F	Court of Appeals for the First Circuit	First Circuit	t	1891-03-03		
ca10	F	Court of Appeals for the Tenth Circuit	Tenth Circuit	t	1929-02-28		
ca11	F	Court of Appeals for the Eleventh Circuit	Eleventh Circuit	t	1980-10-14		
ca2	F	Court of Appeals for the Second Circuit	Second Circuit	t	1891-03-03		
ca3	F	Court of Appeals for the Third Circuit	Third Circuit	t	1891-03-03		
ca4	F	Court of Appeals for the Fourth Circuit	Fourth Circuit	t	1891-03-03		
ca5	F	Court of Appeals for the Fifth Circuit	Fifth Circuit	t	1891-03-03		
ca6	F	Court of Appeals for the Sixth Circuit	Sixth Circuit	t	1891-03-03		
ca7	F	Court of Appeals for the Seventh Circuit	Seventh Circuit	t	1891-03-03		
ca8	F	Court of Appeals for the Eighth Circuit	Eighth Circuit	t	1891-03-03		
ca9	F	Court of Appeals for the Ninth Circuit	Ninth Circuit	t	1891-03-03		
caca	F	Circuit Court for California	California Circuit	f	1804-10-01	1812-04-30	uscirct
cacb	FB	United States Bankruptcy Court, C.D. California	C.D. California	t			
cacd	FD	District Court, C.D. California	C.D. California	t			usdistct
cadc	F	Court of Appeals for the D.C. Circuit	D.C. Circuit	t	1893-02-09		
caeb	FB	United States Bankruptcy Court, E.D. California	E.D. California	t			
caed	FD	District Court, E.D. California	E.D. California	t			usdistct
cafc	F	Court of Appeals for the Federal Circuit	Federal Circuit	t	1982-04-02		
cal	S	California Supreme Court	California Supreme Court	t	1849-01-01		
calag	SAG	California Attorney General Reports	California Attorney General Reports	t			
calappdeptsuper	SA	Appellate Division of the Superior Court of California	Appellate Division of the Superior Court of California	t			
calctapp	SA	California Court of Appeal	California Court of Appeal	t	1905-04-10		
calctapp1d	SA	California Court of Appeal, 1st District	California Court of Appeals, 1st District	f			calctapp
calctapp2d	SA	California Court of Appeal, 2nd District	California Court of Appeals, 2nd District	f			calctapp
calctapp3d	SA	California Court of Appeal, 3rd District	California Court of Appeals, 3rd District	f			calctapp
calctapp4d	SA	California Court of Appeal, 4th District	California Court of Appeals, 4th District	f			calctapp
calctapp5d	SA	California Court of Appeal, 5th District	California Court of Appeals, 5th District	f			calctapp
calctapp6d	SA	California Court of Appeal, 6th District	California Court of Appeals, 6th District	f			calctapp
caldistct	ST	California District Court	Cal. District Court	f	1849-01-01	1879-12-31	
californiad	FD	District Court, D. California	D. California	t	1866-07-27	1886-08-05	usdistct
caljp	C	State of California Commission On Judicial Performance	State of California Commission On Judicial Performance	f			
caljustct	ST	Califonia Justice Court	Califonia Justice Court	f			
caljustctbut	ST	California Justice Court, Butte County	California Justice Court, Butte County	f		2001-01-01	caljustct
caljustctcol	ST	California Justice Court, Colusa County	California Justice Court, Colusa County	f		2001-01-01	caljustct
caljustctfre	ST	California Justice Court, Fresno County	California Justice Court, Fresno County	f		2001-01-01	caljustct
caljustctgle	ST	California Justice Court, Glenn County	California Justice Court, Glenn County	f		2001-01-01	caljustct
caljustcthum	ST	California Justice Court, Humboldt County	California Justice Court, Humboldt County	f		2001-01-01	caljustct
caljustctker	ST	California Justice Court, Kern County	California Justice Court, Kern County	f		2001-01-01	caljustct
caljustctkin	ST	California Justice Court, Kings County	California Justice Court, Kings County	f		2001-01-01	caljustct
caljustctla	ST	California Justice Court, Los Angeles County	California Justice Court, Los Angeles County	f		2001-01-01	caljustct
caljustctlak	ST	California Justice Court, Lake County	California Justice Court, Lake County	f		2001-01-01	caljustct
caljustctmad	ST	California Justice Court, Madera County	California Justice Court, Madera County	f		2001-01-01	caljustct
caljustctmen	ST	California Justice Court, Mendocino County	California Justice Court, Mendocino County	f		2001-01-01	caljustct
caljustctmno	ST	California Justice Court, Mono County	California Justice Court, Mono County	f		2001-01-01	caljustct
caljustctmpa	ST	California Justice Court, Mariposa County	California Justice Court, Mariposa County	f		2001-01-01	caljustct
caljustctnev	ST	California Justice Court, Nevada County	California Justice Court, Nevada County	f		2001-01-01	caljustct
caljustctpla	ST	California Justice Court, Placer County	California Justice Court, Placer County	f		2001-01-01	caljustct
caljustctplu	ST	California Justice Court, Plumas County	California Justice Court, Plumas County	f		2001-01-01	caljustct
caljustctsbd	ST	California Justice Court, San Bernardino County	California Justice Court, San Bernardino County	f		2001-01-01	caljustct
caljustctsbt	ST	California Justice Court, San Benito County	California Justice Court, San Benito County	f		2001-01-01	caljustct
caljustctsis	ST	California Justice Court, Siskiyou County	California Justice Court, Siskiyou County	f		2001-01-01	caljustct
caljustcttul	ST	California Justice Court, Tulare County	California Justice Court, Tulare County	f		2001-01-01	caljustct
caljustcttuo	ST	California Justice Court, Tuolumne County	California Justice Court, Tuolumne County	f		2001-01-01	caljustct
calmunct	ST	Municipal Court of California	Municipal Court of California	f			
calmunctala	ST	Municipal Court of California, County of Alameda	California Municipal Court, Alameda County	f		2001-01-01	calmunct
calmunctalp	ST	Municipal Court of California, County of Alpine	California Municipal Court, Alpine County	f		2001-01-01	calmunct
calmunctama	ST	Municipal Court of California, County of Amador	California Municipal Court, Amador County	f		2001-01-01	calmunct
calmunctbut	ST	Municipal Court of California, County of Butte	California Municipal Court, Butte County	f		2001-01-01	calmunct
calmunctcal	ST	Municipal Court of California, County of Calaveras	California Municipal Court, Calaveras County	f		2001-01-01	calmunct
calmunctcc	ST	Municipal Court of California, County of Contra Costa	California Municipal Court, Contra Costa County	f		2001-01-01	calmunct
calmunctcol	ST	Municipal Court of California, County of Colusa	California Municipal Court, Colusa County	f		2001-01-01	calmunct
calmunctdn	ST	Municipal Court of California, County of Del Norte	California Municipal Court, Del Norte County	f		2001-01-01	calmunct
calmuncted	ST	Municipal Court of California, County of El Dorado	California Municipal Court, El Dorado County	f		2001-01-01	calmunct
calmunctfre	ST	Municipal Court of California, County of Fresno	California Municipal Court, Fresno County	f		2001-01-01	calmunct
calmunctgle	ST	Municipal Court of California, County of Glenn	California Municipal Court, Glenn County	f		2001-01-01	calmunct
calmuncthum	ST	Municipal Court of California, County of Humboldt	California Municipal Court, Humboldt County	f		2001-01-01	calmunct
calmunctimp	ST	Municipal Court of California, County of Imperial	California Municipal Court, Imperial County	f		2001-01-01	calmunct
calmunctiny	ST	Municipal Court of California, County of Inyo	California Municipal Court, Inyo County	f		2001-01-01	calmunct
calmunctker	ST	Municipal Court of California, County of Kern	California Municipal Court, Kern County	f		2001-01-01	calmunct
calmunctkin	ST	Municipal Court of California, County of Kings	California Municipal Court, Kings County	f		2001-01-01	calmunct
calmunctla	ST	Municipal Court of California, County of Los Angeles	California Municipal Court, Los Angeles County	f		2001-01-01	calmunct
calmunctlak	ST	Municipal Court of California, County of Lake	California Municipal Court, Lake County	f		2001-01-01	calmunct
calmunctlas	ST	Municipal Court of California, County of Lassen	California Municipal Court, Lassen County	f		2001-01-01	calmunct
calmunctmad	ST	Municipal Court of California, County of Madera	California Municipal Court, Madera County	f		2001-01-01	calmunct
calmunctmen	ST	Municipal Court of California, County of Mendocino	California Municipal Court, Mendocino County	f		2001-01-01	calmunct
calmunctmer	ST	Municipal Court of California, County of Merced	California Municipal Court, Merced County	f		2001-01-01	calmunct
calmunctmno	ST	Municipal Court of California, County of Mono	California Municipal Court, Mono County	f		2001-01-01	calmunct
calmunctmod	ST	Municipal Court of California, County of Modoc	California Municipal Court, Modoc County	f		2001-01-01	calmunct
calmunctmon	ST	Municipal Court of California, County of Monterey	California Municipal Court, Monterey County	f		2001-01-01	calmunct
calmunctmpa	ST	Municipal Court of California, County of Mariposa	California Municipal Court, Mariposa County	f		2001-01-01	calmunct
calmunctmrn	ST	Municipal Court of California, County of Marin	California Municipal Court, Marin County	f		2001-01-01	calmunct
calmunctnap	ST	Municipal Court of California, County of Napa	California Municipal Court, Napa County	f		2001-01-01	calmunct
calmunctnev	ST	Municipal Court of California, County of Nevada	California Municipal Court, Nevada County	f		2001-01-01	calmunct
calmunctora	ST	Municipal Court of California, County of Orange	California Municipal Court, Orange County	f		2001-01-01	calmunct
calmunctpla	ST	Municipal Court of California, County of Placer	California Municipal Court, Placer County	f		2001-01-01	calmunct
calmunctplu	ST	Municipal Court of California, County of Plumas	California Municipal Court, Plumas County	f		2001-01-01	calmunct
calmunctriv	ST	Municipal Court of California, County of Riverside	California Municipal Court, Riverside County	f		2001-01-01	calmunct
calmunctsac	ST	Municipal Court of California, County of Sacramento	California Municipal Court, Sacramento County	f		2001-01-01	calmunct
calmunctsb	ST	Municipal Court of California, County of Santa Barbara	California Municipal Court, Santa Barbara County	f		2001-01-01	calmunct
calmunctsbd	ST	Municipal Court of California, County of San Bernardino	California Municipal Court, San Bernardino County	f		2001-01-01	calmunct
calmunctsbt	ST	Municipal Court of California, County of San Benito	California Municipal Court, San Benito County	f		2001-01-01	calmunct
calmunctscl	ST	Municipal Court of California, County of Santa Clara	California Municipal Court, Santa Clara County	f		2001-01-01	calmunct
calmunctscr	ST	Municipal Court of California, County of Santa Cruz	California Municipal Court, Santa Cruz County	f		2001-01-01	calmunct
calmunctsd	ST	Municipal Court of California, County of San Diego	California Municipal Court, San Diego County	f		2001-01-01	calmunct
calmunctsf	ST	Municipal Court of California, County of San Francisco	California Municipal Court, San Francisco County	f		2001-01-01	calmunct
calmunctsha	ST	Municipal Court of California, County of Shasta	California Municipal Court, Shasta County	f		2001-01-01	calmunct
calmunctsie	ST	Municipal Court of California, County of Sierra	California Municipal Court, Sierra County	f		2001-01-01	calmunct
calmunctsis	ST	Municipal Court of California, County of Siskiyou	California Municipal Court, Siskiyou County	f		2001-01-01	calmunct
calmunctsj	ST	Municipal Court of California, County of San Joaquin	California Municipal Court, San Joaquin County	f		2001-01-01	calmunct
calmunctslo	ST	Municipal Court of California, County of San Luis Obispo	California Municipal Court, San Luis Obispo County	f		2001-01-01	calmunct
calmunctsm	ST	Municipal Court of California, County of San Mateo	California Municipal Court, San Mateo County	f		2001-01-01	calmunct
calmunctsol	ST	Municipal Court of California, County of Solano	California Municipal Court, Solano County	f		2001-01-01	calmunct
calmunctson	ST	Municipal Court of California, County of Sonoma	California Municipal Court, Sonoma County	f		2001-01-01	calmunct
calmunctsta	ST	Municipal Court of California, County of Stanislaus	California Municipal Court, Stanislaus County	f		2001-01-01	calmunct
calmunctsut	ST	Municipal Court of California, County of Sutter	California Municipal Court, Sutter County	f		2001-01-01	calmunct
calmunctteh	ST	Municipal Court of California, County of Tehama	California Municipal Court, Tehama County	f		2001-01-01	calmunct
calmuncttri	ST	Municipal Court of California, County of Trinity	California Municipal Court, Trinity County	f		2001-01-01	calmunct
calmuncttul	ST	Municipal Court of California, County of Tulare	California Municipal Court, Tulare County	f		2001-01-01	calmunct
calmuncttuo	ST	Municipal Court of California, County of Tuolumne	California Municipal Court, Tuolumne County	f		2001-01-01	calmunct
calmunctven	ST	Municipal Court of California, County of Ventura	California Municipal Court, Ventura County	f		2001-01-01	calmunct
calmunctyol	ST	Municipal Court of California, County of Yolo	California Municipal Court, Yolo County	f		2001-01-01	calmunct
calmunctyub	ST	Municipal Court of California, County of Yuba	California Municipal Court, Yuba County	f		2001-01-01	calmunct
calofcadmhrg	SS	California Office of Administrative Hearings	Cal. Ofc. of Admin. Hrg.	f			
calsuperct	ST	California Superior Court	California Superior Court	f			
calsuppctala	ST	Superior Court of California, County of Alameda	California Superior Court, Alameda County	f			calsuperct
calsuppctalp	ST	Superior Court of California, County of Alpine	California Superior Court, Alpine County	f			calsuperct
calsuppctama	ST	Superior Court of California, County of Amador	California Superior Court, Amador County	f			calsuperct
calsuppctbut	ST	Superior Court of California, County of Butte	California Superior Court, Butte County	f			calsuperct
calsuppctcal	ST	Superior Court of California, County of Calaveras	California Superior Court, Calaveras County	f			calsuperct
calsuppctcc	ST	Superior Court of California, County of Contra Costa	California Superior Court, Contra Costa County	f			calsuperct
calsuppctcol	ST	Superior Court of California, County of Colusa	California Superior Court, Colusa County	f			calsuperct
calsuppctdn	ST	Superior Court of California, County of Del Norte	California Superior Court, Del Norte County	f			calsuperct
calsuppcted	ST	Superior Court of California, County of El Dorado	California Superior Court, El Dorado County	f			calsuperct
calsuppctfre	ST	Superior Court of California, County of Fresno	California Superior Court, Fresno County	f			calsuperct
calsuppctgle	ST	Superior Court of California, County of Glenn	California Superior Court, Glenn County	f			calsuperct
calsuppcthum	ST	Superior Court of California, County of Humboldt	California Superior Court, Humboldt County	f			calsuperct
calsuppctimp	ST	Superior Court of California, County of Imperial	California Superior Court, Imperial County	f			calsuperct
calsuppctiny	ST	Superior Court of California, County of Inyo	California Superior Court, Inyo County	f			calsuperct
calsuppctker	ST	Superior Court of California, County of Kern	California Superior Court, Kern County	f			calsuperct
calsuppctkin	ST	Superior Court of California, County of Kings	California Superior Court, Kings County	f			calsuperct
calsuppctla	ST	Superior Court of California, County of Los Angeles	California Superior Court, Los Angeles County	f			calsuperct
calsuppctlak	ST	Superior Court of California, County of Lake	California Superior Court, Lake County	f			calsuperct
calsuppctlas	ST	Superior Court of California, County of Lassen	California Superior Court, Lassen County	f			calsuperct
calsuppctmad	ST	Superior Court of California, County of Madera	California Superior Court, Madera County	f			calsuperct
calsuppctmen	ST	Superior Court of California, County of Mendocino	California Superior Court, Mendocino County	f			calsuperct
calsuppctmer	ST	Superior Court of California, County of Merced	California Superior Court, Merced County	f			calsuperct
calsuppctmno	ST	Superior Court of California, County of Mono	California Superior Court, Mono County	f			calsuperct
calsuppctmod	ST	Superior Court of California, County of Modoc	California Superior Court, Modoc County	f			calsuperct
calsuppctmon	ST	Superior Court of California, County of Monterey	California Superior Court, Monterey County	f			calsuperct
calsuppctmpa	ST	Superior Court of California, County of Mariposa	California Superior Court, Mariposa County	f			calsuperct
calsuppctmrn	ST	Superior Court of California, County of Marin	California Superior Court, Marin County	f			calsuperct
calsuppctnap	ST	Superior Court of California, County of Napa	California Superior Court, Napa County	f			calsuperct
calsuppctnev	ST	Superior Court of California, County of Nevada	California Superior Court, Nevada County	f			calsuperct
calsuppctora	ST	Superior Court of California, County of Orange	California Superior Court, Orange County	f			calsuperct
calsuppctpla	ST	Superior Court of California, County of Placer	California Superior Court, Placer County	f			calsuperct
calsuppctplu	ST	Superior Court of California, County of Plumas	California Superior Court, Plumas County	f			calsuperct
calsuppctriv	ST	Superior Court of California, County of Riverside	California Superior Court, Riverside County	f			calsuperct
calsuppctsac	ST	Superior Court of California, County of Sacramento	California Superior Court, Sacramento County	f			calsuperct
calsuppctsb	ST	Superior Court of California, County of Santa Barbara	California Superior Court, Santa Barbara County	f			calsuperct
calsuppctsbd	ST	Superior Court of California, County of San Bernardino	California Superior Court, San Bernardino County	f			calsuperct
calsuppctsbt	ST	Superior Court of California, County of San Benito	California Superior Court, San Benito County	f			calsuperct
calsuppctscl	ST	Superior Court of California, County of Santa Clara	California Superior Court, Santa Clara County	f			calsuperct
calsuppctscr	ST	Superior Court of California, County of Santa Cruz	California Superior Court, Santa Cruz County	f			calsuperct
calsuppctsd	ST	Superior Court of California, County of San Diego	California Superior Court, San Diego County	f			calsuperct
calsuppctsf	ST	Superior Court of California, County of San Francisco	California Superior Court, San Francisco County	f			calsuperct
calsuppctsha	ST	Superior Court of California, County of Shasta	California Superior Court, Shasta County	f			calsuperct
calsuppctsie	ST	Superior Court of California, County of Sierra	California Superior Court, Sierra County	f			calsuperct
calsuppctsis	ST	Superior Court of California, County of Siskiyou	California Superior Court, Siskiyou County	f			calsuperct
calsuppctsj	ST	Superior Court of California, County of San Joaquin	California Superior Court, San Joaquin County	f			calsuperct
calsuppctslo	ST	Superior Court of California, County of San Luis Obispo	California Superior Court, San Luis Obispo County	f			calsuperct
calsuppctsm	ST	Superior Court of California, County of San Mateo	California Superior Court, San Mateo County	f			calsuperct
calsuppctsol	ST	Superior Court of California, County of Solano	California Superior Court, Solano County	f			calsuperct
calsuppctson	ST	Superior Court of California, County of Sonoma	California Superior Court, Sonoma County	f			calsuperct
calsuppctsta	ST	Superior Court of California, County of Stanislaus	California Superior Court, Stanislaus County	f			calsuperct
calsuppctsut	ST	Superior Court of California, County of Sutter	California Superior Court, Sutter County	f			calsuperct
calsuppctteh	ST	Superior Court of California, County of Tehama	California Superior Court, Tehama County	f			calsuperct
calsuppcttri	ST	Superior Court of California, County of Trinity	California Superior Court, Trinity County	f			calsuperct
calsuppcttul	ST	Superior Court of California, County of Tulare	California Superior Court, Tulare County	f			calsuperct
calsuppcttuo	ST	Superior Court of California, County of Tuolumne	California Superior Court, Tuolumne County	f			calsuperct
calsuppctven	ST	Superior Court of California, County of Ventura	California Superior Court, Ventura County	f			calsuperct
calsuppctyol	ST	Superior Court of California, County of Yolo	California Superior Court, Yolo County	f			calsuperct
calsuppctyub	ST	Superior Court of California, County of Yuba	California Superior Court, Yuba County	f			calsuperct
caluneinsappbd	SS	California Unemployment Insurance Appeals Board	Cal. Unemp. Ins. App. Bd.	f			
canalzoned	FD	District Court, Canal Zone	District Court, Canal Zone	t	1937-07-26	1982-03-31	usdistct
canb	FB	United States Bankruptcy Court, N.D. California	N.D. California	t			
cand	FD	District Court, N.D. California	N.D. California	t			usdistct
casb	FB	United States Bankruptcy Court, S.D. California	S.D. California	t			
casd	FD	District Court, S.D. California	S.D. California	t			usdistct
cavc	FS	United States Court of Appeals for Veterans Claims	Veterans Claims	t			
cc	FS	United States Court of Claims	Court of Claims	t	1855-02-24	1992-10-29	
ccpa	FS	Court of Customs and Patent Appeals	Customs and Patent Appeals	t	1909-08-05	1982-04-02	
cgcomilrev	MA	U S Coast Guard Court of Military Review	U S Coast Guard Court of Military Review	t			
cherokee	TRS	Cherokee Nation Supreme Court	Cherokee Nation Supreme Court	t			
cherokeeapp	TRA	Cherokee Nation Judicial Appeals Tribunal	Cherokee Nation Judicial Appeals Tribunal	t			
cherokeetribct	TRT	Cherokee Indian Tribal Court	Cherokee Indian Trib. Ct.	t			
cheyrsiouxctapp	TRA	Cheyenne River Sioux Tribal Court of Appeals	Cheyenne River Sioux Tribal Court of Appeals	t			
circtcapefearnc	F	U.S. Circuit Court District of Cape Fear (North Carolina)	U.S. Circuit Court District of Cape Fear (North Carolina)	f	1801-01-01	1872-12-31	uscirct
circtdal	F	U.S. Circuit Court for the District of Alabama	U.S. Circuit Court for the District of Alabama	f	1873-01-01	1874-12-31	uscirct
circtdalb	F	U.S. Circuit Court District of Albemarle (North Carolina)	U.S. Circuit Court District of Albemarle (North Carolina)	f	1801-01-01	1872-12-31	uscirct
circtdalbanyny	F	U.S. Circuit Court for the District of Albany New York	U.S. Circuit Court for the District of Albany New York	f	1801-01-01	1802-12-31	uscirct
circtdar	F	U.S. Circuit Court for the District of Arkansas	U.S. Circuit Court for the District of Arkansas	f	1837-01-01	1851-12-31	uscirct
circtdca	F	U.S. Circuit Court for the District of California	U.S. Circuit Court for the District of California	f	1855-01-01	1863-12-31	uscirct
circtdco	F	U.S. Circuit Court for the District of Colorado	U.S. Circuit Court for the District of Colorado	f	1876-01-01	1911-12-31	uscirct
circtdct	F	U.S. Circuit Court for the District of Connecticut	U.S. Circuit Court for the District of Connecticut	f	1789-01-01	1911-12-31	uscirct
circtddc	F	U.S. Circuit Court for the District of District of Columbia	U.S. Circuit Court for the District of District of Columbia	f	1801-01-01	1911-12-31	uscirct
circtdedenton	F	U.S. Circuit Court District of Edenton (North Carolina)	U.S. Circuit Court District of Edenton (North Carolina)	f	1794-01-01	1797-12-31	uscirct
circtdel	F	U.S. Circuit Court for the District of Delaware	Circuit Court of Delaware	f	1789-09-24	1912-01-01	uscirct
circtdga	F	U.S. Circuit Court for the District of Georgia	U.S. Circuit Court for the District of Georgia	f	1789-01-01	1848-12-31	uscirct
circtdia	F	U.S. Circuit Court for the District of Iowa	U.S. Circuit Court for the District of Iowa	f	1862-01-01	1882-12-31	uscirct
circtdid	F	U.S. Circuit Court for the District of Idaho	U.S. Circuit Court for the District of Idaho	f	1890-01-01	1911-12-31	uscirct
circtdil	F	U.S. Circuit Court for the District of Illinois	U.S. Circuit Court for the District of Illinois	f	1837-01-01	1855-12-31	uscirct
circtdin	F	U.S. Circuit Court for the District of Indiana	U.S. Circuit Court for the District of Indiana	f	1837-01-01	1911-12-31	uscirct
circtdks	F	U.S. Circuit Court for the District of Kansas	U.S. Circuit Court for the District of Kansas	f	1862-01-01	1911-12-31	uscirct
circtdky	F	U.S. Circuit Court for the District of Kentucky	U.S. Circuit Court for the District of Kentucky	f	1807-01-01	1901-12-31	uscirct
circtdla	F	U.S. Circuit Court for the District of Louisiana	U.S. Circuit Court for the District of Louisiana	f	1845-01-01	1849-12-31	uscirct
circtdma	F	U.S. Circuit Court for the District of Massachusetts	U.S. Circuit Court for the District of Massachusetts	f	1789-01-01	1911-12-31	uscirct
circtdmd	F	U.S. Circuit Court for the District of Maryland	U.S. Circuit Court for the District of Maryland	f	1789-01-01	1911-12-31	uscirct
circtdme	F	U.S. Circuit Court for the District of Maine	U.S. Circuit Court for the District of Maine	f	1820-01-01	1911-12-31	uscirct
circtdmi	F	U.S. Circuit Court for the District of Michigan	U.S. Circuit Court for the District of Michigan	f	1837-01-01	1862-12-31	uscirct
circtdmn	F	U.S. Circuit Court for the District of Minnesota	U.S. Circuit Court for the District of Minnesota	f	1862-01-01	1911-12-31	uscirct
circtdmo	F	U.S. Circuit Court for the District of Missouri	U.S. Circuit Court for the District of Missouri	f	1837-01-01	1872-12-31	uscirct
circtdms	F	U.S. Circuit Court for the District of Mississippi	U.S. Circuit Court for the District of Mississippi	f			uscirct
circtdmt	F	U.S. Circuit Court for the District of Montana	U.S. Circuit Court for the District of Montana	f	1889-01-01	1911-12-31	uscirct
circtdnd	F	U.S. Circuit Court for the District of North Dakota	U.S. Circuit Court for the District of North Dakota	f	1889-01-01	1911-12-31	uscirct
circtdne	F	U.S. Circuit Court for the District of Nebraska	U.S. Circuit Court for the District of Nebraska	f	1867-01-01	1911-12-31	uscirct
circtdnewbern	F	U.S. Circuit Court District of New Bern (North Carolina)	U.S. Circuit Court District of New Bern (North Carolina)	f	1794-01-01	1797-12-31	uscirct
circtdnh	F	U.S. Circuit Court for the District of New Hampshire	U.S. Circuit Court for the District of New Hampshire	f	1789-01-01	1911-12-31	uscirct
circtdnj	F	U.S. Circuit Court for the District of New Jersey	U.S. Circuit Court for the District of New Jersey	f	1789-01-01	1911-12-31	uscirct
circtdnv	F	U.S. Circuit Court for the District of Nevada	U.S. Circuit Court for the District of Nevada	f	1865-01-01	1911-12-31	uscirct
circtdoh	F	U.S. Circuit Court for the District of Ohio	U.S. Circuit Court for the District of Ohio	f	1801-01-01	1855-12-31	uscirct
circtdor	F	U.S. Circuit Court for the District of Oregon	U.S. Circuit Court for the District of Oregon	f	1863-01-01	1911-12-31	uscirct
circtdpa	F	U.S. Circuit Court for the District of Pennsylvania	U.S. Circuit Court for the District of Pennsylvania	f	1789-01-01	1818-12-31	uscirct
circtdpamptico	F	U.S. Circuit Court District of Pamptico (North Carolina)	U.S. Circuit Court District of Pamptico (North Carolina)	f	1801-01-01	1872-12-31	uscirct
circtdri	F	U.S. Circuit Court for the District of Rhode Island	U.S. Circuit Court for the District of Rhode Island	f	1790-01-01	1911-12-31	uscirct
circtdsc	F	U.S. Circuit Court for the District of South Carolina	U.S. Circuit Court for the District of South Carolina	f	1789-01-01	1911-12-31	uscirct
circtdsd	F	U.S. Circuit Court for the District of South Dakota	U.S. Circuit Court for the District of South Dakota	f	1889-01-01	1911-12-31	uscirct
circtdterrar	F	U.S. Circuit Court for the District of Territory of Arkansas	U.S. Circuit Court for the District of Territory of Arkansas	f	1819-01-01	1836-12-31	uscirct
circtdtx	F	U.S. Circuit Court for the District of Texas	U.S. Circuit Court for the District of Texas	f	1845-12-29	1857-02-21	uscirct
